,tweet,language
0,,hi
1,,hi
2,,hi
3,,hi
4,,hi
5,,und
6,excellent work thumbs,en
7,heartiest congratulations union govt doctors nurses amp medical amp support staff bharat well public achieving biggest goal crore covid vaccinations short time great work amp best wishes,en
8,congratulations gujarat gvt amp gujarat police caring much abandoned baby boy amp finding parents short time great noble work bravo,en
9,congratulations gujarat gvt amp gujarat police caring much abandoned baby boy amp finding parents short time great noble work bravo,en
10,hindus made victims targeted killing kashmir rakesh pandita bindruji teachers deepak chand amp supinder kaur long list amp even gvt abrogated article great courage must ensure hindu security kashmir killers hindus ancestors,en
11,,hi
12,,hi
13,,hi
14,,hi
15,,hi
16,even though name figures pegasus list trust gvt would investigate matter democratically sathis requested maintain peace,und
17,even though name figures pegasus list trust gvt would investigate matter democratically sathis requested maintain peace,und
18,even though name figures pegasus list trust gvt would investigate matter democratically sathis requested maintain peace,und
19,congrats gujarat gvt big step passing anti lovejihad law hope states center would follow,und
20,folded hands folded hands,und
21,,und
22,,und
23,,hi
24,ahp ihl corona care task force,in
25,assam bengal elections first phase start united hindu sathis vote change,und
26,assam bengal elections first phase start united hindu sathis vote change,und
27,badhiya thumbs thumbs,hi
28,,und
29,,hi
30,,und
31,thumbs,und
32,,und
33,absolutely,en
34,justice yrs ahp amp associated organizations welcome cbi court verdict,hi
35,folded hands folded hands,hi
36,tragic accident vande bharat ai flight dubai kozikode kerala gvt india immediately moved ndrf help sympathies families capt sathe ex wing commander iaf crew amp passengers lost lives,en
37,tragic incident vande bharat flight kozikode kerala dubai govt india immediately sent help ndrf bharat stand families passengers amp crew,en
38,,hi
39,,hi
40,,hi
41,get well soon,hi
42,congratulations indian air force pm modiji defense minister rajnathji rafael arrival jay ho,und
43,thumbs thumbs congratulations amp best wishes,en
44,,hi
45,,hi
46,congratulations large bedded covid hospital delhi much needed excellent work thumbs thumbs,und
47,thumbs,hi
48,,hi
49,,hi
50,,hi
51,,hi
52,china cruelly killed bharat commanding officer amp jawans lac salute brave hearts cr people bharat army air force amp navy compromise border security amp sure gvt always ensuring,en
53,,hi
54,rightly said vijaybhai bharat need gyan guha types states bharat incl gujarat amp bengal cultural economic amp human strength defaming state become fashion gujarat stalwart scientists writers freedom fighters guha apologize,en
55,bharat need gyan guha types states bharat incl gujarat amp bengal cultural economic amp human strength defaming state become fashion gujarat stalwart scientists writers freedom fighters guha apologize indians,en
56,sad shri venugopal ji inspiration many tribute om shanti,en
57,,hi
58,,hi
59,,und
60,lockdown time new lifestyle save people amp nation corona gvts much constantly mutating virus vaccine prevention home workplace new lifestyle cctf ambassadors already educating people india,en
61,perfect amp timely decision bring ordinance make attacks doctors amp medical professionals severely punishable offence hope soon old draconian laws medical field would dumped today gvt thumbs,en
62,hectic good work save india corona maulana sad says cooperating police amp corona spread bcoz jamat immediately arrested insults brave police claims cooperating police,en
63,v good decision extending lock protect bharat corona spread thumbs,en
64,strongly condemn attacks doctors medical fraternity amp police appeal gvts take strictest action culprits save doctors medical fraternity save people dr pravin togadia cancer surgeon india health line,en
65,ahp india health line hhl rashtriya bajrang dal sathis distributing food amp grains india uttarakhand gujarat amp states,und
66,,hi
67,,hi
68,excellent work,en
69,ihl cctf corona stage starts india take proper care amp complete lock deadly phase follow govt instructions amp union govt immediately provide medical supplies like test kits ventilators states,en
70,,hi
71,excellent practical amp significant measure u announced tackle corona cancer surgeon appreciate takes guts amp real heartfelt concern people make decisions u together win corona best wishes u mr president,en
72,excellent practical amp significant measure u announced tackle corona cancer surgeon appreciate takes guts amp heartfelt concern people make decisions u together win corona best wishes u mr president,en
73,excellent practical amp significant measure u announced tackle corona cancer surgeon appreciate takes guts amp heartfelt concern people make decisions u together win corona best wishes u mr president,en
74,india health line ihl corona care task force launched today specialist doctors amp trained ihl health ambassadors set corona related awareness program india,en
75,,hi
76,govt india amp union health minister set tackle corona illness let together work towards healthy amp happy india video link,en
77,let us together make bharat healthy safe amp prosperous,en
78,excellent speeches great leaders ahmedabad bravo president trump courageously announcing countries fight radical islamic terrorism govt india already repealing amp bringing caa thumbs,en
79,welcome gujarat president trump sure next time winning us elections u would come hope indians america would get support amp bharat america ties would strongest good work narendrabhai amp amitbhai,en
80,,hi
81,,hi
