,tweet,language
0,remembering great freedom fighter c rajagopalachari amp monumental contribution nation birth anniversary,en
1,,hi
2,rt paid last respects gen bipin rawat wife personnel armed forces india never forget,en
3,,or
4,bjym,or
5,bjym,or
6,,hi
7,rt prime minister shri pays last respects cds general bipin rawat wife madhulika rawat armed,en
8,,hi
9,heartbreaking moments ability stir deeply embedded emotions precipitating tears india india,en
10,har ghar jal jal jeevan mission central government released grant rs cr manipur government pm modi flagship programme jal jeevan mission manipur government pledged turn manipur state september,en
11,,hi
12,pmay,hi
13,live defence minister shri statement iaf chopper crash tamil nadu,en
14,,or
15,,or
16,rt yesterday hon ble cm sh launched involving public aspiration party manifesto campaign pres,en
17,,hi
18,via namo app,hi
19,,hi
20,via namo app,hi
21,folded hands folded hands,hi
22,rt martyrdom sri guru teg bahadur ji unforgettable moment history fought injustice till,en
23,,hi
24,along honourable cm manipur sh ji amp party president smt ji held preparation meeting mandal presidents district presidents office bearers amp mlas program launched th december,en
25,via namo app,hi
26,,hi
27,,hi
28,,hi
29,,hi
30,rt dr ji bjp gi nat l spokesperson amadi state prabhari na tribal organisation kayagi luchingbasingga ngasi u,tl
31,rt ki incharge oibiriba dr ji na thadou inpi gi luchingbasinggasu unaduna chaokhat thourang kaya,in
32,rt cordially invite attend launching involving public aspiration party manifesto date th dece,en
33,pm,en
34,indian economy shows strong signs recovery upswing eco indicators via namo app,en
35,held meeting mahila morcha discuss preparations upcoming nupi lan th december womenfolk manipur past fought valiantly british salutations folded hands,en
36,,hi
37,interacted renowned medical practitioners manipur collect ideas manifesto preparation assembly elections,en
38,addressing meeting medical practitioners manipur take feedback manifesto preparation assembly elections doctors thanked modi govt well biren govt manipur positive contribution medical sector,en
39,,or
40,,or
41,detailed discussions thadou inpi general headquarters important tribal body manipur discussed various issues pertaining development manipur,en
42,,hi
43,,hi
44,rt ngasi dec amadi da pangthokadaouba vishesh sampark meeting ga mari leinaba meepham state prabhari dr,in
45,held meetings leaders various tribal organisations manipur today imphal fascinated rich tribal culture traditions,en
46,participated preparatory meeting vishesh sampark abhiyan manipur bjp office today along honourable cm sh ji amp party president sh ji,en
47,,hi
48,,hi
49,icmr,hi
50,,hi
51,,hi
52,birthday wishes ace anchor shri ji stay blessed folded hands,en
53,via namo app,hi
54,modi govt sanctioned inr cr widen imphal jiribam highway manipur congratulations manipur indeed take manipur next tier development,en
55,ocassion indian armed forces flag day let us acknowledge salute honor countless sacrifices gallant heroes families make order keep us safe sound,en
56,rt also inaugurate new building icmr regional medical research centre centre played key role,en
57,rt makes happy gorakhpur fertiliser plant revived remaining shut years p,en
58,rt tomorrow th december special day development trajectory uttar pradesh especially purvanchal prog,en
59,rt warmly thank h e president putin visit india exchanged useful ideas expanding strategic,en
60,rt state election management committee gi meepham ama state prabhari dr ji sh ne zonal secy,ro
61,rt widening imphal jiribam section nh two lane paved shoulder km km pkg,en
62,,hi
63,rt,hi
64,rt welcome india friend president putin meeting today strengthen spe,cs
65,last decades several fundamentals changed new geopolitical angles emerged amidst variables indo russian friendship constant countries assisted also taken care sensitivities pm,en
66,hon ble pm shri ji remarks india russia annual summit,en
67,,hi
68,pm,en
69,hm shri ji speaking nagaland incident rajya sabha,tl
70,via namo app,hi
71,rt,hi
72,rt decided every agency ensure actions insurgents incidents happen future,en
73,rt army also released press release displayed pain due losses misfortunate incidents,en
74,rt civilians also injured clashes situation control sit formed special,en
75,rt army took injured nearest medical centre local people getting news surrounded battalion,en
76,rt ambush nagaland th december evening vehicle reached near ambush battalion tried stop,en
77,rt hm shri statement nagaland incident lok sabha,en
78,rt speaking lok sabha,en
79,polarisation islamophobia,hi
80,paid floral tribute dr b r ambedkar ji death anniversary along sh ji state party office imphal,en
81,rt dr ji nat l spokesperson state prabhari sh smt respected state presiden,en
82,,hi
83,attended meeting election management committee headed shri ji gen sec org northeast able presence smt ji state president shri ji gen secy org,en
84,,hi
85,rt,hi
86,rt tributes dr ambedkar ji,mr
87,rt today india bangladesh commemorate maitri diwas jointly recall celebrate foundations years f,en
88,via namo app,hi
89,,hi
90,rt,hi
91,rt,hi
92,rt dr ji held meeting state protocol committee discussed various aspects view upcoming,en
93,historic day himanchal pradesh progress review aiims bilaspur national president shri ji opd block becomes functional,en
94,,hi
95,rt,hi
96,via namo app,hi
97,today held meeting media committee imphal manipur state gen secretary shri ji also present,und
98,,hi
99,,hi
100,held meeting protocol committee imphal today discussed various aspects view upcoming assembly election,en
